year,month,region,count
2021,2,서울,"17,324"
2021,2,부산,"4,779"
2021,2,대구,"8,943"
2021,2,인천,"4,727"
2021,2,광주,"3,043"
2021,2,대전,"3,562"
2021,2,울산,"3,636"
2021,2,세종,930
2021,2,경기,"16,562"
2021,2,강원,"3,558"
2021,2,충북,"3,220"
2021,2,충남,"4,525"
2021,2,전북,"2,656"
2021,2,전남,"3,853"
2021,2,경북,"4,271"
2021,2,경남,"5,176"
2021,2,제주,"12,247"
2021,1,서울,"17,414"
2021,1,부산,"4,677"
2021,1,대구,"8,938"
2021,1,인천,"4,619"
2021,1,광주,"3,035"
2021,1,대전,"3,582"
2021,1,울산,"3,569"
2021,1,세종,909
2021,1,경기,"16,264"
2021,1,강원,"3,542"
2021,1,충북,"3,159"
2021,1,충남,"4,510"
2021,1,전북,"2,615"
2021,1,전남,"3,780"
2021,1,경북,"4,256"
2021,1,경남,"5,041"
2021,1,제주,"12,271"
2020,12,서울,"17,463"
2020,12,부산,"4,628"
2020,12,대구,"9,014"
2020,12,인천,"4,581"
2020,12,광주,"3,041"
2020,12,대전,"3,591"
2020,12,울산,"3,552"
2020,12,세종,897
2020,12,경기,"16,116"
2020,12,강원,"3,540"
2020,12,충북,"3,160"
2020,12,충남,"4,513"
2020,12,전북,"2,586"
2020,12,전남,"3,756"
2020,12,경북,"4,246"
2020,12,경남,"5,023"
2020,12,제주,"12,338"
2020,11,서울,"17,272"
2020,11,부산,"4,553"
2020,11,대구,"9,072"
2020,11,인천,"4,287"
2020,11,광주,"3,024"
2020,11,대전,"3,550"
2020,11,울산,"3,494"
2020,11,세종,882
2020,11,경기,"15,824"
2020,11,강원,"3,422"
2020,11,충북,"3,125"
2020,11,충남,"4,316"
2020,11,전북,"2,547"
2020,11,전남,"3,695"
2020,11,경북,"4,125"
2020,11,경남,"4,957"
2020,11,제주,"12,335"
2020,10,서울,"16,952"
2020,10,부산,"4,210"
2020,10,대구,"9,066"
2020,10,인천,"4,016"
2020,10,광주,"3,002"
2020,10,대전,"3,398"
2020,10,울산,"3,430"
2020,10,세종,864
2020,10,경기,"15,474"
2020,10,강원,"3,359"
2020,10,충북,"3,082"
2020,10,충남,"4,189"
2020,10,전북,"2,497"
2020,10,전남,"3,644"
2020,10,경북,"4,019"
2020,10,경남,"4,846"
2020,10,제주,"12,305"
2020,9,서울,"16,406"
2020,9,부산,"4,117"
2020,9,대구,"9,065"
2020,9,인천,"3,934"
2020,9,광주,"2,981"
2020,9,대전,"3,303"
2020,9,울산,"3,377"
2020,9,세종,858
2020,9,경기,"15,213"
2020,9,강원,"3,333"
2020,9,충북,"3,044"
2020,9,충남,"4,087"
2020,9,전북,"2,445"
2020,9,전남,"3,592"
2020,9,경북,"3,924"
2020,9,경남,"4,689"
2020,9,제주,"12,299"
2020,8,서울,"15,302"
2020,8,부산,"4,035"
2020,8,대구,"8,975"
2020,8,인천,"3,693"
